Service Name,File Path,Lines of Code,Category,Primary Functionality,Widget Dependencies,Quality Score,Integration Target,Risk Level,Rationale
ABTestFramework,ABTestFramework.ts,975,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,LOW,ARCHIVE: Over-engineered but potentially valuable at scale
AnalyticsEngine,AnalyticsEngine.ts,1665,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
AndroidOptimizer,AndroidOptimizer.ts,1367,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
AssetManager,AssetManager.ts,1797,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
AssetManifestProcessor,AssetManifestProcessor.ts,389,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,PluginManager,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
AudioCompressionEngine,AudioCompressionEngine.ts,1260,KEEP,Professional-grade functionality with clean interfaces,None,7,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
AudioContextManager,AudioContextManager.ts,257,KEEP,Professional-grade functionality with clean interfaces,None,8,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
AudioEngine,AudioEngine.ts,171,KEEP,Professional-grade functionality with clean interfaces,None,7,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
AudioResourceDisposer,AudioResourceDisposer.ts,708,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
BackgroundProcessor,BackgroundProcessor.ts,799,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,PluginManager,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
BaseAudioPlugin,BaseAudioPlugin.ts,356,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
BatteryManager,BatteryManager.ts,963,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
BrowserCompatibilityDetector,BrowserCompatibilityDetector.ts,599,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
CacheMetricsCollector,CacheMetricsCollector.ts,583,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
CDNCache,CDNCache.ts,1417,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
ComprehensiveStateManager,ComprehensiveStateManager.ts,1006,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
AssetLoadingController,CorePlaybackEngine/controllers/AssetLoadingController.ts,150,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
TransportController,CorePlaybackEngine/controllers/TransportController.ts,139,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,TransportController,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
CorePlaybackEngine,CorePlaybackEngine/CorePlaybackEngine.ts,593,KEEP,Professional-grade functionality with clean interfaces,"YouTubePlaybackSync, PlaybackOrchestrator",9,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
AudioSourceManager,CorePlaybackEngine/managers/AudioSourceManager.ts,147,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
EventManager,CorePlaybackEngine/managers/EventManager.ts,73,INTEGRATE,"Small, focused functionality that belongs in core services",None,4,EventBus,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
StateManager,CorePlaybackEngine/managers/StateManager.ts,157,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,ServiceRegistry,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
ToneManager,CorePlaybackEngine/managers/ToneManager.ts,177,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
DeviceInfoService,DeviceInfoService.ts,190,DELETE,Over-engineered with no clear value or duplicate functionality,None,3,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
AudioContextError,errors/AudioContextError.ts,301,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
base,errors/base.ts,274,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
CircuitBreaker,errors/CircuitBreaker.ts,389,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
ErrorClassifier,errors/ErrorClassifier.ts,355,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
ErrorRecovery,errors/ErrorRecovery.ts,731,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
ErrorReporter,errors/ErrorReporter.ts,67,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
GracefulDegradation,errors/GracefulDegradation.ts,842,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
MobileError,errors/MobileError.ts,54,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
NetworkError,errors/NetworkError.ts,55,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
PerformanceError,errors/PerformanceError.ts,250,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
ResourceError,errors/ResourceError.ts,187,DELETE,Over-engineered with no clear value or duplicate functionality,None,3,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
typeGuards,errors/typeGuards.ts,64,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
ValidationError,errors/ValidationError.ts,55,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
ExerciseTimelineAdapter,ExerciseTimelineAdapter.ts,284,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,TransportController,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
ExerciseTimelineIntegrator,ExerciseTimelineIntegrator.ts,359,KEEP,Professional-grade functionality with clean interfaces,"ExerciseTimelineIndicator, useWidgetPageState",9,TransportController,LOW,KEEP: Professional-grade functionality with clean interfaces
GarbageCollectionOptimizer,GarbageCollectionOptimizer.ts,608,DELETE,Over-engineered with no clear value or duplicate functionality,None,4,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
HybridDrumSampleManager,HybridDrumSampleManager.ts,392,INTEGRATE,"Small, focused functionality that belongs in core services","HybridDrumKitSelector, DrummerWidget",7,AudioEngine,MEDIUM,"INTEGRATE: Small, focused functionality that belongs in core services"
initializeAudio,initializeAudio.ts,39,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
IntelligentTempoController,IntelligentTempoController.ts,778,KEEP,Professional-grade functionality with clean interfaces,None,8,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
IOSOptimizer,IOSOptimizer.ts,712,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
LoopController,LoopController.ts,916,KEEP,Professional-grade functionality with clean interfaces,None,7,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
MemoryLeakDetector,MemoryLeakDetector.ts,1065,DELETE,Over-engineered with no clear value or duplicate functionality,None,3,N/A,MEDIUM,DELETE: Over-engineered with no clear value or duplicate functionality
MIDIAssetOrchestrator,MIDIAssetOrchestrator.ts,947,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
MixingConsole,MixingConsole.ts,1153,KEEP,Professional-grade functionality with clean interfaces,None,7,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
MobileOptimizer,MobileOptimizer.ts,2648,ARCHIVE,Over-engineered but potentially valuable at scale,None,4,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
MusicalTimeEngine,MusicalTimeEngine.ts,480,KEEP,Professional-grade functionality with clean interfaces,"Story315.integration.test, TempoIndependentExerciseLoader, PlaybackOrchestrator",9,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
N8nPayloadProcessor,N8nPayloadProcessor.ts,304,DELETE,Over-engineered with no clear value or duplicate functionality,None,4,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
NetworkLatencyMonitor,NetworkLatencyMonitor.ts,488,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
PerformanceMonitor,PerformanceMonitor.ts,516,KEEP,Professional-grade functionality with clean interfaces,PerformanceBaseline,9,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
PerformanceOptimizationEngine,PerformanceOptimizationEngine.ts,461,ARCHIVE,Over-engineered but potentially valuable at scale,None,6,N/A,LOW,ARCHIVE: Over-engineered but potentially valuable at scale
PluginLoader,PluginLoader.ts,639,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,PluginManager,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
PluginManager,PluginManager.ts,631,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,PluginManager,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
AssetInstrumentIntegrationProcessor,plugins/AssetInstrumentIntegrationProcessor.ts,449,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,PluginManager,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
BassInstrumentProcessor,plugins/BassInstrumentProcessor.ts,750,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,PluginManager,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
BassProcessor,plugins/BassProcessor.ts,945,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,PluginManager,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
ChordInstrumentProcessor-velocity,plugins/ChordInstrumentProcessor-velocity.ts,161,DELETE,Over-engineered with no clear value or duplicate functionality,None,3,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
ChordInstrumentProcessor,plugins/ChordInstrumentProcessor.ts,2912,KEEP,Professional-grade functionality with clean interfaces,HarmonyWidget,7,PluginManager,LOW,KEEP: Professional-grade functionality with clean interfaces
ChordTypes,plugins/ChordTypes.ts,81,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
DrumInstrumentProcessor,plugins/DrumInstrumentProcessor.ts,1286,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
DrumProcessor,plugins/DrumProcessor.ts,1088,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
EnhancedChordProcessor,plugins/EnhancedChordProcessor.ts,343,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,PluginManager,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
EnhancedMetronomeProcessor,plugins/EnhancedMetronomeProcessor.ts,228,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,PluginManager,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
organ-synthesis,plugins/examples/organ-synthesis.ts,28,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
pad-synthesis,plugins/examples/pad-synthesis.ts,33,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
InstrumentAssetOptimizer,plugins/InstrumentAssetOptimizer.ts,731,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
InstrumentLifecycleManager,plugins/InstrumentLifecycleManager.ts,1041,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
LongPadSampler,plugins/LongPadSampler.ts,305,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
MetronomeInstrumentProcessor,plugins/MetronomeInstrumentProcessor.ts,1197,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
MidiParserProcessor,plugins/MidiParserProcessor.ts,1342,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
MusicalContextAnalyzer,plugins/MusicalContextAnalyzer.ts,815,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
MusicalExpressionEngine,plugins/MusicalExpressionEngine.ts,865,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,LOW,ARCHIVE: Over-engineered but potentially valuable at scale
N8nAssetPipelineProcessor,plugins/N8nAssetPipelineProcessor.ts,995,DELETE,Over-engineered with no clear value or duplicate functionality,None,3,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
PerformanceOptimizer,plugins/PerformanceOptimizer.ts,983,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
PerformanceTunerOptimizer,plugins/PerformanceTunerOptimizer.ts,511,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
