Service Name,File Path,Lines of Code,Category,Primary Functionality,Widget Dependencies,Quality Score,Integration Target,Risk Level,Rationale
RhodesVelocitySampler,plugins/RhodesVelocitySampler.ts,366,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
SalamanderVelocitySampler,plugins/SalamanderVelocitySampler.ts,843,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
SyncProcessor,plugins/SyncProcessor.ts,893,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,PluginManager,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
TheSawSampler,plugins/TheSawSampler.ts,304,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
toneLoader,plugins/toneLoader.ts,25,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
TrackManagerProcessor,plugins/TrackManagerProcessor.ts,1098,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
WurlitzerVelocitySampler,plugins/WurlitzerVelocitySampler.ts,589,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
PrecisionSynchronizationEngine,PrecisionSynchronizationEngine.ts,1150,KEEP,Professional-grade functionality with clean interfaces,None,7,EventBus,LOW,KEEP: Professional-grade functionality with clean interfaces
ProfessionalPlaybackController,ProfessionalPlaybackController.ts,1213,KEEP,Professional-grade functionality with clean interfaces,None,7,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
ErrorHandler,ProfessionalTransportScheduler/managers/ErrorHandler.ts,124,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
EventQueueManager,ProfessionalTransportScheduler/managers/EventQueueManager.ts,106,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,EventBus,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
MetricsManager,ProfessionalTransportScheduler/managers/MetricsManager.ts,154,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
PerformanceOptimizer,ProfessionalTransportScheduler/managers/PerformanceOptimizer.ts,160,DELETE,Over-engineered with no clear value or duplicate functionality,None,3,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
PerformanceReportingManager,ProfessionalTransportScheduler/managers/PerformanceReportingManager.ts,104,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
SchedulingLoop,ProfessionalTransportScheduler/managers/SchedulingLoop.ts,146,DELETE,Over-engineered with no clear value or duplicate functionality,None,3,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
StrategyManager,ProfessionalTransportScheduler/managers/StrategyManager.ts,68,INTEGRATE,"Small, focused functionality that belongs in core services",None,4,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
ThreadedSchedulingManager,ProfessionalTransportScheduler/managers/ThreadedSchedulingManager.ts,129,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
TransportEventHandler,ProfessionalTransportScheduler/managers/TransportEventHandler.ts,49,INTEGRATE,"Small, focused functionality that belongs in core services",None,4,TransportController,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
ProfessionalTransportScheduler,ProfessionalTransportScheduler/ProfessionalTransportScheduler.ts,447,KEEP,Professional-grade functionality with clean interfaces,None,8,TransportController,LOW,KEEP: Professional-grade functionality with clean interfaces
ImmediateSchedulingStrategy,ProfessionalTransportScheduler/strategies/ImmediateSchedulingStrategy.ts,22,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
NextBarSchedulingStrategy,ProfessionalTransportScheduler/strategies/NextBarSchedulingStrategy.ts,25,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
QuantizedSchedulingStrategy,ProfessionalTransportScheduler/strategies/QuantizedSchedulingStrategy.ts,31,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
EventIdGenerator,ProfessionalTransportScheduler/utils/EventIdGenerator.ts,19,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
logger,ProfessionalTransportScheduler/utils/logger.ts,19,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
SchedulingContextFactory,ProfessionalTransportScheduler/utils/SchedulingContextFactory.ts,72,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
TimeUtils,ProfessionalTransportScheduler/utils/TimeUtils.ts,54,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
QualityScaler,QualityScaler.ts,1796,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
QualityTransitionManager,QualityTransitionManager.ts,814,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
ResourceManager,ResourceManager.ts,1597,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
ResourceUsageMonitor,ResourceUsageMonitor.ts,1087,DELETE,Over-engineered with no clear value or duplicate functionality,None,3,N/A,MEDIUM,DELETE: Over-engineered with no clear value or duplicate functionality
SampleAccurateTimelineMapper,SampleAccurateTimelineMapper.ts,347,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,TransportController,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
StatePersistenceManager,StatePersistenceManager.ts,719,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,ServiceRegistry,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
AdaptiveAudioStreamer,storage/AdaptiveAudioStreamer.ts,726,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
SampleAnalyticsEngine,storage/analytics/SampleAnalyticsEngine.ts,978,KEEP,Professional-grade functionality with clean interfaces,None,7,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
AudioSampleManager,storage/AudioSampleManager.ts,1071,KEEP,Professional-grade functionality with clean interfaces,DrummerWidget,8,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
AdvancedCacheManager,storage/cache/AdvancedCacheManager.ts,1119,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
CacheAnalyticsEngine,storage/cache/CacheAnalyticsEngine.ts,933,KEEP,Professional-grade functionality with clean interfaces,None,7,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
CacheSynchronizationEngine,storage/cache/CacheSynchronizationEngine.ts,1358,KEEP,Professional-grade functionality with clean interfaces,None,7,EventBus,LOW,KEEP: Professional-grade functionality with clean interfaces
EvictionPolicyEngine,storage/cache/EvictionPolicyEngine.ts,387,KEEP,Professional-grade functionality with clean interfaces,None,8,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
IntelligentCacheRouter,storage/cache/IntelligentCacheRouter.ts,1008,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
IntelligentCompressionEngine,storage/cache/IntelligentCompressionEngine.ts,1480,KEEP,Professional-grade functionality with clean interfaces,None,7,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
MemoryManager,storage/cache/MemoryManager.ts,365,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
SampleCacheManager,storage/cache/SampleCacheManager.ts,591,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
UsagePatternAnalyzer,storage/cache/UsagePatternAnalyzer.ts,535,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
MetadataAnalyzer,storage/MetadataAnalyzer.ts,1254,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
MIDIAnalyticsEngine,storage/MIDIAnalyticsEngine.ts,7,ARCHIVE,Over-engineered but potentially valuable at scale,None,4,N/A,LOW,ARCHIVE: Over-engineered but potentially valuable at scale
MIDICollaborationManager,storage/MIDICollaborationManager.ts,7,INTEGRATE,"Small, focused functionality that belongs in core services",None,4,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
MIDIMetadataProcessor,storage/MIDIMetadataProcessor.ts,7,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
MIDIRealTimeSync,storage/MIDIRealTimeSync.ts,7,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
PredictiveComponents,storage/PredictiveComponents.ts,977,ARCHIVE,Over-engineered but potentially valuable at scale,None,5,N/A,LOW,ARCHIVE: Over-engineered but potentially valuable at scale
PredictiveLoadingEngine,storage/PredictiveLoadingEngine.ts,778,ARCHIVE,Over-engineered but potentially valuable at scale,None,6,N/A,LOW,ARCHIVE: Over-engineered but potentially valuable at scale
SupabaseAssetClient,storage/SupabaseAssetClient.ts,3298,ARCHIVE,Over-engineered but potentially valuable at scale,None,4,N/A,MEDIUM,ARCHIVE: Over-engineered but potentially valuable at scale
AudioScheduler,ThreadedTransportScheduler/controllers/AudioScheduler.ts,63,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
FallbackController,ThreadedTransportScheduler/controllers/FallbackController.ts,72,INTEGRATE,"Small, focused functionality that belongs in core services",None,4,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
WorkerController,ThreadedTransportScheduler/controllers/WorkerController.ts,131,INTEGRATE,"Small, focused functionality that belongs in core services",None,5,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
BrowserCapabilityDetector,ThreadedTransportScheduler/managers/BrowserCapabilityDetector.ts,41,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
EventManager,ThreadedTransportScheduler/managers/EventManager.ts,43,INTEGRATE,"Small, focused functionality that belongs in core services",None,4,EventBus,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
MessageManager,ThreadedTransportScheduler/managers/MessageManager.ts,89,INTEGRATE,"Small, focused functionality that belongs in core services",None,4,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
PerformanceMonitor,ThreadedTransportScheduler/managers/PerformanceMonitor.ts,107,INTEGRATE,"Small, focused functionality that belongs in core services",PerformanceBaseline,6,AudioEngine,MEDIUM,"INTEGRATE: Small, focused functionality that belongs in core services"
ThreadedTransportScheduler,ThreadedTransportScheduler/ThreadedTransportScheduler.ts,307,KEEP,Professional-grade functionality with clean interfaces,None,8,TransportController,LOW,KEEP: Professional-grade functionality with clean interfaces
logger,ThreadedTransportScheduler/utils/logger.ts,19,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
ToneInstanceManager,ToneInstanceManager.ts,96,KEEP,Professional-grade functionality with clean interfaces,None,6,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
ToneProvider,ToneProvider.ts,63,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
TranspositionController,TranspositionController.ts,831,KEEP,Professional-grade functionality with clean interfaces,None,7,AudioEngine,LOW,KEEP: Professional-grade functionality with clean interfaces
PauseTransportCommand,UnifiedTransportController/commands/PauseTransportCommand.ts,25,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
StartTransportCommand,UnifiedTransportController/commands/StartTransportCommand.ts,121,DELETE,Over-engineered with no clear value or duplicate functionality,None,3,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
StopTransportCommand,UnifiedTransportController/commands/StopTransportCommand.ts,42,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
ProfessionalSchedulerIntegration,UnifiedTransportController/integrations/ProfessionalSchedulerIntegration.ts,125,DELETE,Over-engineered with no clear value or duplicate functionality,None,3,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
ExerciseManager,UnifiedTransportController/managers/ExerciseManager.ts,63,INTEGRATE,"Small, focused functionality that belongs in core services",None,4,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
HeartbeatManager,UnifiedTransportController/managers/HeartbeatManager.ts,92,INTEGRATE,"Small, focused functionality that belongs in core services",None,4,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
ObserverManager,UnifiedTransportController/managers/ObserverManager.ts,86,INTEGRATE,"Small, focused functionality that belongs in core services",None,4,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
PerformanceTracker,UnifiedTransportController/managers/PerformanceTracker.ts,51,DELETE,Over-engineered with no clear value or duplicate functionality,None,2,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
PositionTracker,UnifiedTransportController/managers/PositionTracker.ts,159,DELETE,Over-engineered with no clear value or duplicate functionality,None,3,N/A,LOW,DELETE: Over-engineered with no clear value or duplicate functionality
UnifiedTransportController,UnifiedTransportController/UnifiedTransportController.ts,347,KEEP,Professional-grade functionality with clean interfaces,None,8,TransportController,LOW,KEEP: Professional-grade functionality with clean interfaces
WorkerPoolManager,WorkerPoolManager.ts,743,INTEGRATE,"Small, focused functionality that belongs in core services",None,6,AudioEngine,LOW,"INTEGRATE: Small, focused functionality that belongs in core services"
